Column1,short_description
1, गडकरी ने नहीं दिया है पीएम मोदी और राम मंदिर से जुड़ा ये विवादित बयान
2," राम मंदिर वहीं बना है जहां रामलला विराजमान थे, बाबरी से तीन किलोमीटर दूर होने की बात है बेबुनियाद"
3," यूपी में बोर्ड की परीक्षा नहीं हुई है रद्द, ये वीडियो पूरी तरह फर्जी है"
4," नेपाल से अयोध्या के जुलूस का नहीं, ये ग्रेटर नोएडा में निकली कलश यात्रा का वीडियो है"
5, एमपी का सीएम बनने के बाद मोहन यादव ने दी जनता को गाली? इस वीडियो का सच कुछ और है
6, अयोध्या में राम मंदिर दर्शन के लिए नहीं जुटी जामवंत की ये सेना
7, मोदी सरकार ने नहीं लिया ₹500 के नोट पर राम मंदिर की फोटो छापने का फैसला
8, 'काला चश्मा' गाने पर डांस करते ये व्यक्ति राजस्थान सीएम भजनलाल शर्मा नहीं हैं
9," राजस्थान के शिक्षा मंत्री ने सचमुच मांगी थी लोगों के हाथ-पैर टूटने की दुआ, लेकिन ये कहानी कुछ पुरानी है"
10, होटल से सामान चुराते पकड़ा गया ये परिवार पाकिस्तानी नहीं है
11, भगवान राम पर टिप्पणी के बाद एनसीपी नेता की पिटाई का भ्रामक दावा वायरल
12, हेलिकॉप्टर का ये हैरतअंगेज वीडियो न तो भारत का है और न ही किसी हवाई दुर्घटना का
13," केजरीवाल ने नहीं कहा कि मोदी-शाह पाकिस्तान को बर्बाद कर देंगे, एडिटेड वीडियो फिर हुआ वायरल"
14," डूबते जहाज का ये वीडियो है 7 साल पुराना, नहीं है इसका इजरायल-हूती विद्रोहियों की लड़ाई से कोई संबंध"
15, कर्नाटक में हुए पुलिस लाठीचार्ज का वीडियो छत्तीसगढ़ में चल रहे आदिवासियों के प्रदर्शन का बताकर हुआ वायरल
16, छात्रा के फीस न भर पाने पर टीचर ने उससे शादी कर ली? इस वीडियो की असली कहानी कुछ और है
17," तेलुगु एक्ट्रेस जयसुधा ने कंगना रनौत के बारे में नहीं कही ये आपत्तिजनक बात, ये पोस्टकार्ड एडिटेड है"
18, लिफ्ट के भीतर सनसनीखेज तरीके से लड़कियों के अपहरण की ये घटना बेंगलुरु की नहीं है
19," 25 हजार हवन कुंडों के साथ राम मंदिर का प्राण-प्रतिष्ठा कार्यक्रम होने का दावा है बेबुनियाद, वाराणसी का है ये वीडियो"
20, प्लेन की खिड़की पर थूकने के बाद बहस करते यात्री का ये वीडियो स्क्रिप्टेड है
21," हिट एंड रन कानून से दुखी होकर इस शख्स ने नहीं की आत्महत्या, ये घटना चार साल पुरानी है"
22, हिट-एंड-रन के नए कानून से जोड़कर शेयर किया जा रहा स्कूटी चालक का ये वीडियो पुराना है
23, यमन में बच्ची से रेप करने पर मिली सरेआम सजा-ए-मौत? पूरा सच ये है
24," बिना बैट के बल्लेबाजी करने उतरा ये खिलाड़ी कौन है, जिसे बताया जा रहा है रोहित शर्मा"
25, डीजे बंद कराने आया पुलिसवाला क्या खुद ही नाचने लगा? जानें इस वायरल वीडियो की सच्चाई
26, क्रिकेट खेलते वक्त मुंह के बल गिरने वाले ये व्यक्ति राजस्थान सीएम भजनलाल शर्मा नहीं हैं
27, क्रेन से मैकडॉनल्ड्स के स्टोर को ढहाए जाने के इस वीडियो का नहीं है कतर से कोई लेना-देना
28," मीमर्स ने मौज मस्ती के लिए शेयर किया कांग्रेस का फर्जी क्यूआर कोड, लेकिन लोग मान बैठे इसे सच"
29, नाइजीरिया में ईसाइयों का नरसंहार नहीं दिखाता है ये वीडियो
30, फरीदाबाद में स्कूली बच्चे की पिटाई का वीडियो अयोध्या राम मंदिर से जोड़कर किया जा रहा वायरल
31," चुनाव आयोग ने हाल-फिलहाल में नहीं, 2017 में दिया था EVM हैक करने का चैलेंज"
32, शिवराज को दोबारा सीएम बनाने की मांग नहीं कर रहे हैं ये लोग
33, महिला को निर्वस्त्र कर गांव में घुमाने वाली इस घटना में नहीं है कोई जाति का एंगल
34, विदेश में हुई पुरानी दुर्घटनाओं को बताया जा रहा भारत में हुआ हालिया हादसा
35," इजरायली सैनिकों द्वारा नेतन्याहू को अस्पताल जाने से रोकने की नहीं है ये तस्वीर, मनगढ़ंत दावा वायरल"
36," भोजपुरी गाने पर झूमती ये महिला, बीजेपी विधायक श्रेयसी सिंह नहीं बल्कि एक अभिनेत्री है"
37," रोहित शर्मा ने हार्दिक पांड्या को नहीं कहा गद्दार, उनके नाम पर वायरल हो रहा ये बयान फर्जी है"
38," क्रिसमस पर मॉल को राम-सीता की मूर्तियों से सजाए जाने का दावा है गलत, दशहरा के समय का है वीडियो"
39, योगी आदित्यनाथ ने पीएम मोदी को भेंट की धीरेंद्र शास्त्री की फोटो? फर्जी है ये तस्वीर
40, सूर्यकुमार यादव को रोहित शर्मा के सामने भावुक होते नहीं दिखाता ये वीडियो
41, जगन्नाथ मंदिर विवाद के बीच “कर्ली टेल्स” वाली कामिया जानी के धर्म के बारे में फैली गलत जानकारी
42, भारतीय जहाज में गायों को लदा देख हूती विद्रोहियों के उसे छोड़ने की ये कहानी मनगढ़ंत है
43," हार्दिक पांड्या के सामने नहीं लगे रोहित शर्मा को 'मुंबई का राजा' बुलाने वाले नारे, ये वीडियो फर्जी है"
44, शाहरुख की ‘डंकी’ फिल्म से जोड़कर कई पुराने वीडियो को किया जा रहा शेयर
45," कपिल सिब्बल ने कभी नहीं कही राम मंदिर बनने पर आत्मदाह करने की बात, फर्जी है ये ट्वीट"
46, बस के दरवाजे पर लटके CM भजनलाल शर्मा की इस तस्वीर की कहानी कुछ और है
47, पुलिस द्वारा बेरहमी से पीटा जा रहा ये शख्स गोगामेड़ी की हत्या का आरोपी नहीं है
48, देसी रील्स से मशहूर हुई मालती चौहान के पति विष्णु की मौत की बात है बेबुनियाद
49, अमेरिका में बाबा साहेब अंबेडकर के नाम पर खुला पुस्तकालय? चीन की हैं ये तस्वीरें
50, कोलकाता के दुर्गा पूजा पंडाल का वीडियो अयोध्या के राम मंदिर का बताकर किया जा रहा है शेयर
51," इसका नहीं है बीजेपी कनेक्शन, ये वीडियो कानपुर में एक व्यापारी के घर पड़ी रेड का है"
52," तलवारबाजी करते ये शख्स राजस्थान के सीएम भजनलाल नहीं, एमपी के डिप्टी सीएम जगदीश देवड़ा हैं"
53, पीएम मोदी को संत प्रेमानंद महाराज का प्रवचन सुनते दिखाता ये वीडियो एडिटेड है
54, राजस्थान बोर्ड की 10वीं और 12वीं की परीक्षाएं रद्द होने का झूठा दावा इंस्टाग्राम पर हुआ वायरल
55," राजस्थान के मनोनीत CM भजनलाल ने नहीं की गहलोत की तारीफ, फर्जी अकाउंट से किया गया ये ट्वीट"
56," मध्य प्रदेश व राजस्थान में दोबारा चुनाव होने का दावा है बेबुनियाद, फर्जी है ये वीडियो"
57, सख्त तेवर दिखा रहे ये व्यक्ति मध्य प्रदेश के मुख्यमंत्री मोहन यादव नहीं हैं
58, एमपी में सत्ता परिवर्तन के बाद शिवराज के रोने के नए-पुराने वीडियो हो रहे हैं वायरल
59," मुख्यमंत्री की रेस की टेंशन में नहीं गिरीं वसुंधरा, ये वीडियो सात साल पुराना है"
60, ढोल पर नाचते राजस्थान बीजेपी विधायक जोगाराम पटेल का ये वीडियो उनकी चुनावी जीत के बाद का नहीं है
61, सुखदेव सिंह गोगामेड़ी के हत्यारों की राजपूतों ने की पिटाई? ये वीडियो एक दूसरी घटना का है
62," ट्रेन में आग लगने की ये घटना आगरा की है, न कि कानपुर की; इसमें किसी की जान नहीं गई थी"
63," वसुंधरा राजे और पीएम मोदी की छह साल पुरानी फोटो, हालिया मुलाकात की बताकर हुई वायरल"
64, बीपीएससी परीक्षा देने बिहार आए लोगों की भीड़ को नहीं दिखाता है ये वायरल वीडियो
65, राजस्थान में बीजेपी के चुनाव जीतते ही स्वास्थ्य बीमा की वेबसाइट बंद होने की बात है बेबुनियाद
66, सुखदेव सिंह गोगामेड़ी की हत्या के आरोपियों की नहीं है ये फोटो
67," यूपी से बुलडोजर लेकर राजस्थान जाती ट्रेन का नहीं, ये आंध्र प्रदेश का पुराना वीडियो है"
68, राजस्थान चुनाव जीतते ही बाबा बालकनाथ ने पुलिस को धमकाया? पुराना है ये वीडियो
69," कांग्रेस के जीतते ही तेलंगाना में कलमा लिखा तिरंगा फहराए जाने की बात है गलत, ये वीडियो पुराना है"
70," टी राजा सिंह ने नहीं दिया चुनाव जीतने के बाद ये आपत्तिजनक भाषण, पुराना वीडियो हुआ वायरल"
71, करणी सेना चीफ की हत्या का आरोप बीजेपी नेता के साथ खड़े इस रोहित गोदारा पर नहीं लगा है
